Trial,Species,Age,Virgin,Time_Since_Mated,Test,Date,Time,Temp,Court,Cop,Cop_Latency,Cop_Duration,Researcher,Notes
DS_V3-5_01,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.17.2017,9:16,24,NA,NA,NA,NA,Rene,D. biarmipies did not mate from this date - something may be off with vials
DS_V3-5_02,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.17.2017,9:16,24,NA,NA,NA,NA,Rene,D. biarmipies did not mate from this date - something may be off with vials
DS_V3-5_03,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.17.2017,9:16,24,NA,NA,NA,NA,Rene,D. biarmipies did not mate from this date - something may be off with vials
DS_V3-5_04,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.17.2017,9:16,24,NA,NA,NA,NA,Rene,D. biarmipies did not mate from this date - something may be off with vials
DS_V3-5_05,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.17.2017,9:16,24,NA,NA,NA,NA,Rene,D. biarmipies did not mate from this date - something may be off with vials
DS_V3-5_06,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.20.2017,9:13,24,Y,Y,1413,594,Rene,
DS_V3-5_07,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.20.2017,9:13,24,Y,N,NA,NA,Rene,
DS_V3-5_08,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.20.2017,9:13,24,Y,Y,1109,1306,Rene,
DS_V3-5_09,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.20.2017,9:13,24,Y,N,NA,NA,Rene,
DS_V3-5_10,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.20.2017,9:13,24,Y,N,NA,NA,Rene,
DS_V3-5_11,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.21.2017,8:21,23,Y,Y,616,1503,Rene,
DS_V3-5_12,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.21.2017,8:21,23,Y,N,NA,NA,Rene,attempted copulation ~8x (seemed like male could not hold on)
DS_V3-5_13,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.21.2017,8:21,23,Y,Y,240,1603,Rene,
DS_V3-5_14,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.21.2017,8:21,23,Y,N,NA,NA,Rene,
DS_V3-5_15,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.21.2017,8:21,23,Y,N,NA,NA,Rene,
DS_V3-5_16,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.21.2017,8:21,23,Y,N,NA,NA,Rene,
DS_V3-5_17,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.24.2017,10:00,23,Y,Y,83,1024,Marissa,
DS_V3-5_18,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.24.2017,10:00,23,Y,Y,1465,1065,Marissa,
DS_V3-5_19,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.24.2017,10:00,23,Y,Y,2029,1693,Marissa,
DS_V3-5_20,Drosophila_suzukii,3_5,Y,NA,DS_V3-5,02.24.2017,10:00,23,Y,N,NA,NA,Marissa,
